Name,Age,GPA,Credits Completed,Year,Pathway
"Hugh ,Smith",17,1.78,51,Sophmore,Marketing
"David,Kurtis",19,1.67,9,Sophmore,Math
"Jerome ,Anderson",16,1.11,60,Sophmore,Math
"Mary ,Dirkas",15,2.83,30,Senior,Buisness
"Mary ,Smith",15,1.96,60,Senior,Pedophile
"Jerome ,Emma",19,0.73,48,Freshman,Buisness
"David,Anderson",16,2.61,12,Senior,Athletics
"Hugh ,Tarken",14,1.03,22,Senior,Pedophile
"Joe,Anderson",16,1.2,59,Freshman,Engineering
"William,Dover",17,3.8,29,Sophmore,Music
"Richard,Dirkas",16,0.98,32,Senior,Computer Science
"John ,Smith",14,1.38,55,Senior,Music
"Mac,Janus",15,3.26,22,Junior,Marketing
"Ben ,Kurtis",19,0.05,11,Freshman,Engineering
"James ,Janus",19,2.68,59,Freshman,Bio med
"Mary ,Anderson",19,1.53,17,Junior,Early childhood Education
"Thomas,Smith",19,2.96,41,Senior,Athletics
"James ,Smith",17,3.76,34,Freshman,Marketing
"William,Seeman",19,4.36,27,Junior,culinary
"David,Smith",16,2.17,9,Senior,Early College
"Thomas,Seeman",19,1.25,18,Junior,Athletics
"Hugh ,Janus",14,2.47,56,Junior,Pervert
"John ,Kurtis",18,2.51,44,Junior,Buisness
"John ,Dirkas",18,2.97,48,Freshman,Early College
"Mac,Smith",17,2.96,57,Freshman,criminal justice
"James ,Tarken",18,1.34,15,Junior,Engineering
"Mary ,Anderson",15,1.14,36,Senior,Bio med
"Jerome ,Smith",17,0.18,27,Senior,Engineering
"Robert,Tarken",15,0.05,17,Junior,Buisness
"David,Kurtis",17,1.1,16,Freshman,Math
"Jessica ,Tarken",18,3.39,54,Sophmore,Pervert
"Mary ,Emma",17,3.86,51,Junior,Marketing
"Jessica ,Anderson",16,1.09,9,Sophmore,culinary
"Mary ,Kurtis",17,3.21,32,Junior,Engineering
"Jessica ,Dover",15,2.52,27,Junior,Music
"Joe,Seeman",19,4.07,13,Senior,Computer Science
"David,Dover",19,2.67,8,Senior,Music
"Ben ,Anderson",14,2.14,17,Sophmore,Pervert
"William,Dover",15,2.05,22,Freshman,Pedophile
"John ,Anderson",19,4.03,50,Sophmore,Pedophile
"Jessica ,Kurtis",14,3.42,35,Senior,culinary
"Robert,Kurtis",17,1.01,22,Senior,Pedophile
"Mary ,Emma",18,1.74,14,Senior,culinary
"Joe,Tarken",18,4.23,52,Freshman,Pervert
"Ben ,Tarken",18,2.42,9,Sophmore,criminal justice
"Hugh ,Kurtis",17,0.46,41,Freshman,culinary
"Jessica ,Dover",14,2.31,1,Senior,Computer Science
"Mary ,Janus",14,0.05,42,Junior,Marketing
"Hugh ,Alakas",17,0.31,20,Junior,Bio med
"Mac,Janus",14,3.37,21,Sophmore,Marketing
"David,Smith",15,2.12,37,Freshman,Bio med
"Mac,Seeman",14,2.43,34,Junior,culinary
"Carman ,Dover",17,2.68,10,Sophmore,Pervert
"Richard,Dirkas",15,0.04,44,Sophmore,Early childhood Education
"Thomas,Alakas",17,4.04,25,Freshman,Early childhood Education
"Mary ,Dover",14,3.4,27,Freshman,Early childhood Education
